raw_file_name,biosample_id,biosample_name,match_confidence,treatment_code,ionization_mode
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-088_statanox-13C-anox-44-000_4_Rg70to1050-CE102040-70-S1_Run363.mzML,,,no_match,statanox-13C-anox-44-000,POS
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-166_flux4day-13C-oxic-44-000_3_Rg70to1050-CE102040-104-S1_Run317.mzML,,,no_match,flux4day-13C-oxic-44-000,NEG
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-064_statoxic-13C-oxic-44-000_2_Rg70to1050-CE102040-52-S1_Run148.mzML,,,no_match,statoxic-13C-oxic-44-000,POS
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-114_pretreat-00C-anox-00-000_3_Rg70to1050-CE102040-87-S1_Run243.mzML,,,no_match,pretreat-00C-anox-00-000,POS
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-018_flux8day-12C-anox-20-030_1_Rg70to1050-CE102040-17-S1_Run32.mzML,,,no_match,flux8day-12C-anox-20-030,POS
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_GRE-MB-144_flux4day-12C-oxic-23-030_2_Rg70to1050-CE102040-95-S1_Run159.mzML,,,no_match,flux4day-12C-oxic-23-030,POS
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-039_flux8day-12C-anox-36-000_3_Rg70to1050-CE102040-36-S1_Run314.mzML,,,no_match,flux8day-12C-anox-36-000,NEG
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_POS_MSMS_ExCtrl-181_ExCtrl_2_Rg70to1050-CE102040-119-S1_Run156.mzML,,,no_match,ExCtrl-181_ExCtrl,POS
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-030_flux8day-12C-oxic-23-030_3_Rg70to1050-CE102040-28-S1_Run288.mzML,,,no_match,flux8day-12C-oxic-23-030,NEG
20190103_KBL_JP_502924_Soil_13CFlux_QE-139_HILIC_USHGX01163_NEG_MSMS_GRE-MB-148_flux4day-12C-oxic-36-000_1_Rg70to1050-CE102040-98-S1_Run114.mzML,,,no_match,flux4day-12C-oxic-36-000,NEG
